; N,HBW,HBO,HBSH,HBSR,HBSC,HBCU,NHBW,NHBO
1,0,0,0,0,-5.6018,-13.9619,12.6522,-37.9327
2,1.9557,0.9115,4.898,0.3567,1.1333,-0.7354,-0.5673,0.1005
3,0.5367,-3.4441,-1.3894,-0.2773,0.0485,-3.9359,-0.5623,-0.135
4,5.0768,2.6149,5.8549,0.8422,-1.5283,0.3601,-2.352,-2.5105
5,0,0,0,0,-3.4052,-3.2353,-2.8724,-2.6014
6,-0.5622,0,0,0,-1.5977,-1.9932,-1.5902,-2.0191
7,-9.0574,0.9302,4.7403,-0.1566,-1.3723,-12.1288,-3.6151,-2.2798
8,2.4897,-1.1541,-7.0732,-3.8019,-0.5867,2.0616,-4.2047,-1.5286
9,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0
11,-0.9089,0.0575,-4.5921,-2.7569,0,0,0,0
12,0.0783,2.1671,-0.4061,2.1197,0,0,0,0
13,-1.5266,-0.1053,-0.0261,-3.5937,0,0,0,0
14,-0.8098,-0.9064,-4.4215,-1.5915,0,0,0,0
15,-1.4719,-1.8572,-0.7865,-1.0501,0,0,0,0
16,-0.5215,0.0779,2.3325,1.2071,0,0,0,0
17,-0.2487,-8.6758,-3.776,-8.0007,0,0,0,0
18,-3.5643,1.9887,-1.805,2.0701,0,0,0,0
19,3.8941,0,0,0,0,0,0,0
20,0,0,0,0,0,0,0,0
21,-2.6218,-2.554,-4.6945,-3.2451,0,0,0,0
22,-6.7629,-6.7287,-0.4032,2.1157,0,0,0,0
23,1.4464,1.9667,-0.0264,-4.2746,0,0,0,0
24,-2.9451,-4.2935,-4.986,-2.8565,0,0,0,0
25,-1.0475,-1.2153,-0.9712,-1.0914,0,0,0,0
26,-0.1045,0.9302,2.129,1.1478,0,0,0,0
27,-13.1228,-11.5565,-3.6782,-9.2468,0,0,0,0
28,2.6355,2.0205,-1.7607,2.0747,0,0,0,0
29,2.5792,0,0,0,0,0,0,0
30,0,0,0,0,0,0,0,0
31,-1.5845,-2.6151,-7.2042,-5.8918,0,0,0,0
32,-1.2275,0.2548,-0.4066,0.3985,0,0,0,0
33,-1.0878,-0.2548,-0.0262,0.1209,0,0,0,0
34,-1.0007,-2.0392,-3.724,-2.8049,0,0,0,0
35,-1.6715,-3.1066,-2.507,-2.4506,0,0,0,0
36,-0.0302,0.0136,0.5669,-0.2228,0,0,0,0
37,-6.2108,-2.5071,-3.815,-1.8393,0,0,0,0
38,-2.252,-0.7352,-1.806,-0.2048,0,0,0,0
39,0,0,0,0,0,0,0,0
40,0,0,0,0,0,0,0,0
41,-1.5223,-1.1509,-4.6849,-4.3414,0,0,0,0
42,-0.7654,0.1697,-0.3942,-0.1377,0,0,0,0
43,-0.7237,0.0144,-0.311,0.0383,0,0,0,0
44,-2.1258,-3.0803,-4.3313,-4.133,0,0,0,0
45,-1.5265,-2.5023,-3.0234,-2.5861,0,0,0,0
46,-0.0345,-0.2007,-0.0167,0.4283,0,0,0,0
47,-5.1794,-1.6881,-5.2637,-1.02,0,0,0,0
48,-3.7991,-0.9367,0.1854,-0.4316,0,0,0,0
49,2.2666,0,0,0,0,0,0,0
50,0,0,0,0,0,0,0,0
51,0.0816,-0.7335,0.5359,1.4795,23.0314,0,14.9529,3.2067
52,-1.1805,-1.9508,-3.9601,-3.3958,-2.7718,0,-2.7392,-2.5816
53,0.15,0.09,0.09,0.09,0.09,0.15,0.12,0.12
54,0,0,0,0,0,0,0,0
55,0.325,0.195,0.195,0.195,0.195,0.325,0.26,0.26
56,-1.8572,-2.1038,-3.2422,-2.3755,0.165,0,-0.1479,0.1284
57,0.075,0.045,0.045,0.045,0.045,0.075,0.06,0.06
58,0,0,0,0,0,0,0,0
59,0.15,0.09,0.09,0.09,0.09,0.15,0.12,0.12
