111,110,1,0,1,0.376299789,0.32,0.97,1.43,0.00,0
112,120,1,0,2,0.376299789,0.32,0.97,1.43,0.01,0.04
113,130,1,0,3,0.801874212,0.32,0.97,1.43,0.10,0.61
114,140,1,0,4,0.801874212,0.32,0.97,1.43,0.17,1.51
121,111,1,1,1,0.89431569,0.37,1.02,1.43,0.00,0
122,121,1,1,2,0.701434584,0.37,1.12,1.43,0.01,0.04
123,131,1,1,3,1.563135987,1.31,1.12,1.43,0.10,0.61
124,141,1,1,4,1.563135987,1.31,1.12,1.43,0.17,1.51
131,112,1,2,1,0.89431569,0.41,1.07,1.43,0.00,0
132,122,1,2,2,1.083770173,0.42,1.28,1.43,0.01,0.04
133,132,1,2,3,1.707451136,1.39,1.84,1.43,0.10,0.61
134,142,1,2,4,1.707451136,1.39,2.42,1.43,0.17,1.51
141,113,1,3,1,0.89431569,0.41,1.07,1.43,0.00,0
142,123,1,3,2,1.732577775,0.42,1.28,1.43,0.01,0.04
143,133,1,3,3,1.736030891,1.48,1.84,1.43,0.10,0.61
144,143,1,3,4,1.736030891,1.48,3.72,1.43,0.17,1.51
211,210,2,0,1,0.376299789,0.32,0.97,1.43,0.00,0
212,220,2,0,2,0.376299789,0.32,0.97,1.43,0.01,0.04
213,230,2,0,3,0.801874212,0.32,0.97,1.43,0.10,0.61
214,240,2,0,4,0.801874212,0.32,0.97,1.43,0.17,1.51
221,211,2,1,1,0.89431569,0.37,1.02,1.43,0.00,0
222,221,2,1,2,0.701434584,0.37,1.12,1.43,0.01,0.04
223,231,2,1,3,1.563135987,1.31,1.12,1.43,0.10,0.61
224,241,2,1,4,1.563135987,1.31,1.12,1.43,0.17,1.51
231,212,2,2,1,0.89431569,0.41,1.07,1.43,0.00,0
232,222,2,2,2,1.083770173,0.42,1.28,1.43,0.01,0.04
233,232,2,2,3,1.707451136,1.39,1.84,1.43,0.10,0.61
234,242,2,2,4,1.707451136,1.39,2.42,1.43,0.17,1.51
241,213,2,3,1,0.89431569,0.41,1.07,1.43,0.00,0
242,223,2,3,2,1.732577775,0.42,1.28,1.43,0.01,0.04
243,233,2,3,3,1.736030891,1.48,1.84,1.43,0.10,0.61
244,243,2,3,4,1.736030891,1.48,3.72,1.43,0.17,1.51
311,310,3,0,1,0.376299789,0,0.58,1.43,0.00,0
312,320,3,0,2,0.376299789,0,0.97,1.43,0.01,0.04
313,330,3,0,3,0.801874212,1.09,0.97,1.43,0.10,0.61
314,340,3,0,4,0.801874212,0,0.97,1.43,0.17,1.51
321,311,3,1,1,0.545108858,0.2,0.79,1.43,0.00,0
322,321,3,1,2,0.837960927,1.13,1.01,1.43,0.01,0.04
323,331,3,1,3,0.868191616,1.09,1.11,1.43,0.10,0.61
324,341,3,1,4,0.865582556,0.66,2.08,1.43,0.17,1.51
331,312,3,2,1,0.545108858,1.58,0.79,1.43,0.00,0
332,322,3,2,2,0.837960927,0.73,1.04,1.43,0.01,0.04
333,332,3,2,3,0.918192276,0.76,1.25,1.43,0.10,0.61
334,342,3,2,4,1.284076329,1.42,3.11,1.43,0.17,1.51
341,313,3,3,1,0.545108858,1.74,0.79,1.43,0.00,0
342,323,3,3,2,0.837960927,0.7,1.04,1.43,0.01,0.04
343,333,3,3,3,1.050311241,1.03,1.25,1.43,0.10,0.61
344,343,3,3,4,1.984954766,1.91,3.22,1.43,0.17,1.51
411,410,4,0,1,0.376299789,0,0.58,1.43,0.00,0
412,420,4,0,2,0.376299789,0,0.97,1.43,0.01,0.04
413,430,4,0,3,0.801874212,1.09,0.97,1.43,0.10,0.61
414,440,4,0,4,0.801874212,0,0.97,1.43,0.17,1.51
421,411,4,1,1,0.545108858,0.2,0.79,1.43,0.00,0
422,421,4,1,2,0.837960927,1.13,1.01,1.43,0.01,0.04
423,431,4,1,3,0.868191616,1.09,1.11,1.43,0.10,0.61
424,441,4,1,4,0.865582556,0.66,2.08,1.43,0.17,1.51
431,412,4,2,1,0.545108858,1.58,0.79,1.43,0.00,0
432,422,4,2,2,0.837960927,0.73,1.04,1.43,0.01,0.04
433,432,4,2,3,0.918192276,0.76,1.25,1.43,0.10,0.61
434,442,4,2,4,1.284076329,1.42,3.11,1.43,0.17,1.51
441,413,4,3,1,0.545108858,1.74,0.79,1.43,0.00,0
442,423,4,3,2,0.837960927,0.7,1.04,1.43,0.01,0.04
443,433,4,3,3,1.050311241,1.03,1.25,1.43,0.10,0.61
444,443,4,3,4,1.984954766,1.91,3.22,1.43,0.17,1.51
