;N1,HBW,HBO,HBSH,HBSR,HBSC,HBCU,NHBW,NHBO
1,-0.025,-0.015,-0.015,-0.015,-0.015,-0.025,-0.02,-0.02
2,-0.05625,-0.03375,-0.03375,-0.03375,-0.03375,-0.05625,-0.045,-0.045
3,-0.025,-0.015,-0.015,-0.015,-0.015,-0.025,-0.02,-0.02
4,-0.0625,-0.0375,-0.0375,-0.0375,-0.0375,-0.0625,-0.05,-0.05
5,-0.003380906,-0.005071359,-0.005071359,-0.005071359,-0.001771224,-0.002952041,-0.001889306,-0.001889306
6,-0.002117941,-0.003176912,-0.003176912,-0.003176912,0,0,0,0
7,-0.000793954,-0.001190931,-0.001190931,-0.001190931,0,0,0,0
8,-0.002637537,-0.003956305,-0.003956305,-0.003956305,0,0,0,0
9,-0.000697572,-0.001046358,-0.001046358,-0.001046358,0,0,0,0
10,-0.05625,-0.03375,-0.03375,-0.03375,-0.03375,-0.05625,-0.045,-0.045
11,-0.0625,-0.0375,-0.0375,-0.0375,-0.0375,-0.0625,-0.05,-0.05
12,-0.0625,-0.0375,-0.0375,-0.0375,-0.0375,-0.0625,-0.05,-0.05
13,-0.0625,-0.0375,-0.0375,-0.0375,-0.0375,-0.0625,-0.05,-0.05
14,-0.09375,-0.05625,-0.05625,-0.05625,-0.05625,-0.09375,-0.075,-0.075
15,-0.0625,-0.0375,-0.0375,-0.0375,-0.0375,-0.0625,-0.05,-0.05
16,-0.09375,-0.05625,-0.05625,-0.05625,-0.05625,-0.09375,-0.075,-0.075
17,1,1,1,1,1,1,1,1
18,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
19,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
20,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
21,0,0,0,0,0,0,0,0
22,0,0,0,0,0,0,0,0
